District	Average Humidity(%)
1				64.4
2				40.00
3				52.40
4				42.40
5				59.20
6				54.00
7				58.23
8				58.92
9				57.54
10				51.57
11				68.33
12				56.33
13				58.20
14				62.50
15				49.33
16				55.80
17				56.67
18				65.00
19				65.83
20				60.33
21				65.00
22				55.17
23				39.50
24				52.00
25				64.60
26				63.00
28				58.10
29				56.67
30				61.50
31				52.00
32				54.11
33				47.00
34				67.00
35				46.00
36				57.11
37				41.00
38				50.17
39				53.62
40				52.00
41				57.00
42				52.88
43				55.00
44				58.25
45				59.00
46				55.80
47				53.17
48				68.00
49				50.00
50				50.67
51				47.50
52				60.00
53				54.25
54				56.50
55				57.86
56				54.00
57				61.50
58				59.50
59				53.60
60				64.33
61				57.93
62				59.80
63				66.00
64				60.14
