District	Average rain(cm)
1				18.6
2				12.25
3				18.60
4				17.80
5				17.10
6				20.88
7				20.08
8				21.00
9				18.31
10				19.71
11				15.67
12				25.33
13				23.40
14				18.83
15				19.33
16				15.40
17				22.67
18				10.00
19				19.50
20				16.67
21				14.25
22				16.50
23				26.00
24				22.40
25				19.00
26				20.83
28				16.20
29				18.33
30				21.25
31				27.00
32				13.89
33				8.75
34				16.44
35				18.60
36				18.89
37				20.67
38				21.17
39				22.38
40				12.00
41				18.12
42				20.12
43				10.00
44				24.50
45				12.80
46				22.00
47				15.33
48				21.00
49				14.40
50				11.33
51				22.50
52				12.00
53				18.25
54				19.75
55				22.14
56				28.00
57				19.83
58				9.50
59				23.60
60				14.00
61				17.33
62				23.40
63				16.50
64				16.57
