District	Average Temperature(degree Celsius)
1						35.2
2						25.00
3						26.60
4						31.60
5						31.00
6						26.88
7						29.92
8						30.38
9						29.46
10						28.00
11						31.00
12						31.00
13						29.00
14						32.67
15						31.00
16						29.20
17						28.67
18						38.00
19						30.33
20						28.00
21						29.50
22						29.00
23						25.00
24						26.00
25						29.00
26						30.33
28						28.10
29						28.33
30						32.00
31						24.00
32						30.22
33						31.75
34						26.11
35						28.80
36						28.33
37						27.67
38						27.83
39						28.38
40						23.00
41						29.38
42						30.00
43						26.60
44						32.25
45						30.80
46						33.60
47						31.83
48						31.50
49						28.00
50						30.00
51						29.00
52						26.50
53						28.88
54						33.75
55						34.29
56						24.00
57						32.17
58						27.50
59						29.80
60						25.33
61						26.53
62						25.80
63						25.00
64						29.29
